Gene_family	PANTHER/CDD	ID	Description
Fox	CDD	gnl|CDD|410795	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_G_(FOXG)_subfamily
Fox	CDD	gnl|CDD|410796	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_H_(FOXH)_subfamily
Fox	CDD	gnl|CDD|410797	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_J1_(FOXJ1)_and_similar_proteins
Fox	CDD	gnl|CDD|410798	Forkhead_(FH)_domain_found_in_Forkhead_box_proteins,_FOXJ2,_FOXJ3_and_similar_proteins
Fox	CDD	gnl|CDD|410799	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_I_(FOXI)_subfamily
Fox	CDD	gnl|CDD|410800	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_K_(FOXK)_subfamily
Fox	CDD	gnl|CDD|410801	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_L1_(FOXL1)_and_similar_proteins
Fox	CDD	gnl|CDD|410802	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_L2_(FOXL2)_and_similar_proteins
Fox	CDD	gnl|CDD|410803	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_M_(FOXM)_subfamily
Fox	CDD	gnl|CDD|410804	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_N1_(FOXN1)_and_similar_proteins
Fox	CDD	gnl|CDD|410805	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_N2_(FOXN2)_and_similar_proteins
Fox	CDD	gnl|CDD|410806	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_O_(FOXO)_subfamily
Fox	CDD	gnl|CDD|410807	Forkhead_(FH)_domain_found_in_the_Forkhead_box_protein_P_(FOXP)_subfamily
Fox	CDD	gnl|CDD|410808	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_Q1_(FOXQ1)_and_similar_proteins
Fox	CDD	gnl|CDD|410809	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_Q2_(FOXQ2)_and_similar_proteins
